S.no,Youtube_channel,Youtuber_name,Category,Subscribers,Country,Average_view,Average_likes,Average_comments,Sub-category,Date
100,Bollywood Classics,tseriesoldisgold,Music & Dance,31000000.0,India,30700.0,547.0,28.0,Other,9/19/2022
101,Luis Fonsi,Luis Fonsi,Other,31000000.0,United States,34800.0,3100.0,69.0,Other,9/19/2022
102,SMTOWN,SMTOWN,Music & Dance,31000000.0,United States,326000.0,51400.0,1600.0,Other,9/16/2022
103,Selena Gomez,SelGomez,Other,30900000.0,United States,347900.0,38600.0,796.0,Other,9/26/2022
104,Mr Bean,MrBean,Other,30800000.0,India,191100.0,2700.0,80.0,Other,9/25/2022
105,Rajshri,rajshri,Other,30600000.0,India,18500.0,145.0,8.0,Other,9/20/2022
106,Ricis Official,Ricis Official,Music & Dance,30600000.0,Indonesia,621600.0,27300.0,789.0,Movies,9/15/2022
107,Trap Nation,AllTrapNation,Music & Dance,30400000.0,United States,74900.0,2600.0,96.0,Other,9/4/2022
108,DisneyMusicVEVO,DisneyMusicVEVO,Music & Dance,30300000.0,United States,295200.0,6100.0,393.0,Movies,9/19/2022
109,The Tonight Show Starring Jimmy Fallon,latenight,Movies,30200000.0,United States,166500.0,5600.0,171.0,Humor,9/26/2022
110,Saregama Music,SongsOfIndianCinema,Music & Dance,30100000.0,India,26600.0,967.0,11.0,Other,9/23/2022
111,AH,AH,Music & Dance,30000000.0,Indonesia,831500.0,37300.0,2600.0,Movies,9/3/2022
112,Spinnin' Records,SpinninRec,Music & Dance,29800000.0,United States,56000.0,2600.0,74.0,Other,9/7/2022
113,rezendeevil,rezendeevil,Movies,29600000.0,Brazil,293400.0,28500.0,742.0,Humor,9/24/2022
115,The Weeknd,xoxxxoooxo,Music & Dance,29500000.0,United States,652500.0,50100.0,2400.0,Other,9/29/2022
116,Jingle Toons,Jingle Toons,Other,29100000.0,India,82500.0,830.0,10.0,Other,9/29/2022
117,PowerKids TV,PowerKids,Movies,29100000.0,India,83500.0,0.0,0.0,Animation,9/7/2022
118,Worldwide Records Bhojpuri,WWRBhojpuri,Music & Dance,29000000.0,India,85500.0,2300.0,103.0,Other,9/2/2022
119,ImagineDragons,ImagineDragons,Music & Dance,28800000.0,United States,133500.0,13700.0,151.0,Other,9/18/2022
